figure,config,cutoff,N,W,val_fpr,val_recall,test_fpr,test_recall
fig6_user_recall_vs_fpr.png,logon,0.75,4,7,0.0,0.0,0.0,0.0
fig6_user_recall_vs_fpr.png,logon,0.75,2,14,0.0033,0.0286,0.0068,0.0
fig6_user_recall_vs_fpr.png,logon,0.75,1,7,0.0099,0.0571,0.0158,0.0857
fig6_user_recall_vs_fpr.png,logon,0.5,4,7,0.0297,0.2,0.0304,0.1429
fig6_user_recall_vs_fpr.png,logon,0.3,5,14,0.0319,0.2286,0.0315,0.1429
fig6_user_recall_vs_fpr.png,logon,0.45,4,14,0.0363,0.2857,0.0383,0.2571
fig6_user_recall_vs_fpr.png,logon,0.45,3,7,0.0385,0.3143,0.045,0.2571
fig6_user_recall_vs_fpr.png,logon,0.45,3,14,0.0593,0.3429,0.0664,0.2857
fig6_user_recall_vs_fpr.png,logon,0.45,1,7,0.1549,0.3714,0.1419,0.3143
fig6_user_recall_vs_fpr.png,device,0.65,5,14,0.0,0.0571,0.0011,0.0
fig6_user_recall_vs_fpr.png,device,0.65,4,14,0.0044,0.2,0.0023,0.3714
fig6_user_recall_vs_fpr.png,device,0.65,3,7,0.0055,0.2286,0.0045,0.3429
fig6_user_recall_vs_fpr.png,device,0.65,3,14,0.0132,0.4,0.0113,0.4857
fig6_user_recall_vs_fpr.png,device,0.65,2,7,0.0297,0.4286,0.0236,0.5143
fig6_user_recall_vs_fpr.png,device,0.65,2,14,0.0374,0.4571,0.0349,0.5714
fig6_user_recall_vs_fpr.png,device,0.3,3,14,0.0626,0.5714,0.0586,0.7714
fig6_user_recall_vs_fpr.png,device,0.3,2,7,0.0857,0.6,0.08,0.8
fig6_user_recall_vs_fpr.png,device,0.3,2,14,0.1,0.6571,0.0923,0.8571
fig6_user_recall_vs_fpr.png,device,0.3,1,7,0.1187,0.8571,0.1216,0.9429
fig6_user_recall_vs_fpr.png,logon+device,1.0,3,14,0.0,0.1429,0.0,0.1714
fig6_user_recall_vs_fpr.png,logon+device,0.6,4,14,0.0044,0.2,0.0023,0.3714
fig6_user_recall_vs_fpr.png,logon+device,1.0,1,7,0.0066,0.2571,0.0068,0.2286
fig6_user_recall_vs_fpr.png,logon+device,0.6,3,14,0.0154,0.4,0.0124,0.4857
fig6_user_recall_vs_fpr.png,logon+device,0.6,2,7,0.0319,0.4286,0.0282,0.5143
fig6_user_recall_vs_fpr.png,logon+device,0.45,4,14,0.0418,0.4571,0.0428,0.4857
fig6_user_recall_vs_fpr.png,logon+device,0.5,3,14,0.0648,0.6,0.0664,0.6
fig6_user_recall_vs_fpr.png,logon+device,0.5,2,7,0.0978,0.6286,0.0923,0.6571
fig6_user_recall_vs_fpr.png,logon+device,0.5,2,14,0.1154,0.6571,0.1104,0.7143
fig6_user_recall_vs_fpr.png,logon+device,0.3,3,14,0.122,0.7714,0.1261,0.8857
fig6_user_recall_vs_fpr.png,logon+device,0.3,3,30,0.156,0.8,0.1678,0.8857
fig6_user_recall_vs_fpr.png,logon+device,0.3,2,14,0.1824,0.8571,0.1813,0.9714
fig6_user_recall_vs_fpr.png,logon+device,0.3,1,7,0.2582,0.9429,0.2601,1.0
fig7_scenario2_curve.png,logon,0.75,4,7,0.0,0.0,0.0,0.0
fig7_scenario2_curve.png,logon,0.8,1,7,0.0077,0.0667,0.0113,0.0
fig7_scenario2_curve.png,logon,0.5,1,7,0.1231,0.1333,0.1092,0.0667
fig7_scenario2_curve.png,device,0.65,4,7,0.0,0.0,0.0,0.0
fig7_scenario2_curve.png,device,0.3,5,14,0.0099,0.0667,0.0113,0.2667
fig7_scenario2_curve.png,device,0.3,4,14,0.0264,0.1333,0.0191,0.4667
fig7_scenario2_curve.png,device,0.3,3,7,0.0286,0.2667,0.0282,0.4
fig7_scenario2_curve.png,device,0.3,4,30,0.0615,0.4,0.0574,0.6667
fig7_scenario2_curve.png,device,0.3,2,7,0.0857,0.4667,0.08,0.8
fig7_scenario2_curve.png,device,0.3,2,14,0.1,0.6,0.0923,0.9333
fig7_scenario2_curve.png,device,0.3,1,7,0.1187,0.8,0.1216,1.0
fig7_scenario2_curve.png,logon+device,0.6,4,7,0.0,0.0,0.0,0.0
fig7_scenario2_curve.png,logon+device,0.45,5,7,0.0297,0.0667,0.0293,0.0
fig7_scenario2_curve.png,logon+device,0.95,1,7,0.0396,0.1333,0.0417,0.1333
fig7_scenario2_curve.png,logon+device,0.3,4,14,0.0659,0.2,0.0664,0.4667
fig7_scenario2_curve.png,logon+device,0.3,3,7,0.0714,0.3333,0.0833,0.4
fig7_scenario2_curve.png,logon+device,0.3,4,30,0.1209,0.4667,0.1261,0.6667
fig7_scenario2_curve.png,logon+device,0.3,3,30,0.156,0.5333,0.1678,0.8
fig7_scenario2_curve.png,logon+device,0.3,2,14,0.1824,0.6667,0.1813,0.9333
fig7_scenario2_curve.png,logon+device,0.3,1,7,0.2582,0.8667,0.2601,1.0
