scheme,B,mean_ms,std_ms,ci95_lo_ms,ci95_hi_ms,size_kb,external_commits,area_all_no_key,area_all_key,area_all_key_chain_only,area_bad_no_key,area_bad_key,area_bad_key_chain_only
plain log,-,173.5,5.7,170.9,176.2,11757.1,0,nan,nan,nan,nan,nan,nan
"per-record chain, all",-,928.6,24.5,917.1,940.0,22458.0,169,1,998.58,998.58,1,1000,1000
block,1,957.2,26.6,944.7,969.6,24695.7,168392,1,1,1,1,1,1
hybrid tau=0.30,1,996.2,21.7,986.1,1006.4,25659.7,168400,1,1,42.84,1,1,318.62
block,2,694.2,9.0,690.0,698.4,18187.6,84196,2,2,2,2,2,2
hybrid tau=0.30,2,752.3,13.9,745.8,758.8,19151.6,84204,1.96,1.96,43.79,1.68,1.72,319.31
block,5,555.6,19.4,546.6,564.7,14322.8,33679,5.0,5.0,5.0,5,5,5
hybrid tau=0.30,5,620.3,28.5,607.0,633.6,15286.9,33687,4.83,4.85,46.66,3.73,3.86,321.35
block,10,505.3,12.9,499.2,511.3,13034.6,16840,10.0,10.0,10.0,10,10,10
hybrid tau=0.30,10,573.2,45.0,552.2,594.3,13998.6,16848,9.61,9.65,51.45,7.14,7.42,324.76
block,25,466.8,5.9,464.0,469.6,12264.7,6736,25.0,25.0,25.0,25,25,25
hybrid tau=0.30,25,541.4,17.5,533.2,549.6,13228.8,6744,23.97,24.05,65.8,17.37,17.99,334.99
block,50,495.4,11.4,490.0,500.7,12010.4,3368,50.0,50.0,50.0,50,50,50
hybrid tau=0.30,50,529.5,17.7,521.2,537.8,12974.4,3376,47.89,48.05,89.73,34.42,35.6,352.05
block,100,456.7,9.2,452.4,461.0,11883.2,1684,100.0,100.0,100.0,100,100,100
hybrid tau=0.30,100,504.5,7.3,501.1,507.9,12847.2,1692,95.75,96.02,137.58,68.52,70.6,386.15
block,250,446.5,10.6,441.6,451.5,11807.2,674,249.91,249.91,249.91,250,250,250
hybrid tau=0.30,250,523.1,13.7,516.7,529.5,12771.3,682,239.22,239.81,281.06,170.83,175.34,488.46
block,500,453.6,6.2,450.7,456.5,11782.1,337,499.75,499.75,499.75,500,500,500
hybrid tau=0.30,500,507.5,16.0,500.0,515.0,12746.1,345,478.33,479.42,520.17,341.35,350.03,658.97
block,1000,450.7,9.3,446.4,455.0,11769.6,169,998.58,998.58,998.58,1000,1000,1000
hybrid tau=0.30,1000,499.5,9.5,495.1,504.0,12733.6,177,955.73,957.75,997.56,682.38,698.51,1000
block,10000,443.9,15.8,436.5,451.3,11758.3,17,9919.86,9919.86,9919.86,10000,10000,10000
hybrid tau=0.30,10000,498.0,28.8,484.5,511.4,12722.4,25,9492.73,9508.65,9534.57,6820.9,6943.25,7138.52
