set,user,day,scenario,score,malicious_records
слой 0.30 (только dev_spike),TNM0961,2010-11-16,2,0.3,18
слой 0.30 (только dev_spike),DRR0162,2010-12-28,2,0.3,18
слой 0.30 (только dev_spike),VSS0154,2010-10-13,2,0.3,16
слой 0.30 (только dev_spike),IUB0565,2010-11-22,2,0.3,16
слой 0.30 (только dev_spike),FSC0601,2011-03-03,2,0.3,16
слой 0.30 (только dev_spike),DRR0162,2010-12-13,2,0.3,16
слой 0.30 (только dev_spike),AKR0057,2010-11-18,2,0.3,16
слой 0.30 (только dev_spike),TNM0961,2010-12-09,2,0.3,14
слой 0.30 (только dev_spike),TNM0961,2010-12-01,2,0.3,14
слой 0.30 (только dev_spike),NWT0098,2011-03-23,2,0.3,14
слой 0.30 (только dev_spike),MDH0580,2011-02-18,2,0.3,14
слой 0.30 (только dev_spike),KRL0501,2011-01-06,2,0.3,14
слой 0.30 (только dev_spike),KRL0501,2011-01-05,2,0.3,14
слой 0.30 (только dev_spike),KRL0501,2010-12-22,2,0.3,14
слой 0.30 (только dev_spike),JJM0203,2010-10-19,2,0.3,14
слой 0.30 (только dev_spike),JJM0203,2010-10-04,2,0.3,14
слой 0.30 (только dev_spike),IUB0565,2010-11-30,2,0.3,14
слой 0.30 (только dev_spike),IKR0401,2011-01-25,2,0.3,14
слой 0.30 (только dev_spike),HXL0968,2010-10-28,2,0.3,14
слой 0.30 (только dev_spike),HXL0968,2010-10-15,2,0.3,14
слой 0.30 (только dev_spike),HXL0968,2010-10-08,2,0.3,14
слой 0.30 (только dev_spike),HXL0968,2010-10-06,2,0.3,14
слой 0.30 (только dev_spike),HBO0413,2011-04-08,2,0.3,14
слой 0.30 (только dev_spike),HBO0413,2011-03-24,2,0.3,14
слой 0.30 (только dev_spike),HBO0413,2011-03-22,2,0.3,14
слой 0.30 (только dev_spike),HBO0413,2011-03-16,2,0.3,14
слой 0.30 (только dev_spike),HBO0413,2011-03-14,2,0.3,14
слой 0.30 (только dev_spike),FSC0601,2011-03-09,2,0.3,14
слой 0.30 (только dev_spike),FSC0601,2011-03-07,2,0.3,14
слой 0.30 (только dev_spike),DRR0162,2011-01-04,2,0.3,14
слой 0.30 (только dev_spike),DRR0162,2010-12-29,2,0.3,14
слой 0.30 (только dev_spike),DRR0162,2010-12-16,2,0.3,14
слой 0.30 (только dev_spike),CQW0652,2011-04-14,2,0.3,14
слой 0.30 (только dev_spike),CEJ0109,2011-04-01,2,0.3,14
слой 0.30 (только dev_spike),CEJ0109,2011-03-22,2,0.3,14
слой 0.30 (только dev_spike),CCL0068,2011-02-08,2,0.3,14
