scheme,param,population,records_reviewed_if_in_chain,records_reviewed_if_not_in_chain,share_in_chain_pct,avg_records_to_review,note
блочная (чистая),B=100,весь журнал,,100.0,0.0,100.0,
блочная (чистая),B=100,только вредоносные,,100.0,0.0,100.0,почти совпадает со 'весь журнал' - блочная схема не различает вредоносность
блочная (чистая),B=1000,весь журнал,,998.6,0.0,998.6,
блочная (чистая),B=1000,только вредоносные,,1000.0,0.0,1000.0,почти совпадает со 'весь журнал' - блочная схема не различает вредоносность
блочная (чистая),B=10000,весь журнал,,9919.9,0.0,9919.9,
блочная (чистая),B=10000,только вредоносные,,10000.0,0.0,10000.0,почти совпадает со 'весь журнал' - блочная схема не различает вредоносность
гибрид,tau=0.3,весь журнал,1,998.6,4.29,955.76,
гибрид,tau=0.3,только вредоносные,1,998.6,31.79,681.41,"доля в цепочке выше, чем по всему журналу - вредоносные события непропорционально чаще попадают в рискованные дни"
гибрид,tau=0.65,весь журнал,1,998.6,1.47,983.92,
гибрид,tau=0.65,только вредоносные,1,998.6,6.6,932.75,"доля в цепочке выше, чем по всему журналу - вредоносные события непропорционально чаще попадают в рискованные дни"
гибрид,tau=0.95,весь журнал,1,998.6,0.14,997.14,
гибрид,tau=0.95,только вредоносные,1,998.6,1.61,982.56,"доля в цепочке выше, чем по всему журналу - вредоносные события непропорционально чаще попадают в рискованные дни"
