metric,scheme,write_mode,records,warmup,repeats,mean_ms,std_ms,ci95_lo_ms,ci95_hi_ms,note
scheme_comparison,обычный журнал,обычная,10000,3,20,23.14,1.83,22.28,23.99,
scheme_comparison,обычный журнал,fsync,10000,3,20,25.95,2.68,24.69,27.2,
scheme_comparison,SHA-256 цепочка,обычная,10000,3,20,49.17,2.99,47.77,50.57,
scheme_comparison,SHA-256 цепочка,fsync,10000,3,20,52.47,3.74,50.72,54.22,
scheme_comparison,HMAC поэлементная,обычная,10000,3,20,54.98,2.31,53.9,56.07,
scheme_comparison,HMAC поэлементная,fsync,10000,3,20,60.24,2.76,58.95,61.53,
scheme_comparison,блочная HMAC B=1000,обычная,10000,3,20,31.97,3.45,30.36,33.59,
scheme_comparison,блочная HMAC B=1000,fsync,10000,3,20,33.76,3.25,32.23,35.28,
checkpoint_time_isolated,HMAC поэлементная,только записи (без внеш. файла),10000,3,20,58.11,15.26,50.97,65.26,контрольные точки НЕ пишутся вовсе
checkpoint_time_isolated,HMAC поэлементная,только внешний файл (точки),10000,3,20,29.33,1.42,28.67,30.0,"HMAC пересчитывается (нужен для точек), сама запись журнала - нет"
checkpoint_time_isolated,блочная HMAC B=1000,только записи (без внеш. файла),10000,3,20,19.9,3.35,18.33,21.47,метки блоков НЕ пишутся вовсе
checkpoint_time_isolated,блочная HMAC B=1000,только внешний файл (метки),10000,3,20,10.78,1.49,10.09,11.48,"HMAC блоков считается (нужен для меток), запись самих строк - нет"
