user,window_start,window_end,window_days,logon_days_in_window,device_days_in_window,logon_days_ever,device_days_ever,device_days_pct_of_window
ACM1770,2011-03-17,2011-05-19,64,45,0,357,0,0.0
AMC1883,2011-01-14,2011-03-08,54,38,0,357,0,0.0
ASH0298,2011-01-25,2011-03-29,64,46,0,357,0,0.0
ASH0458,2011-02-25,2011-05-06,71,50,0,357,0,0.0
BDP0096,2010-11-15,2011-02-07,85,56,19,363,103,22.4
CBW1826,2010-10-14,2011-03-23,161,110,0,357,0,0.0
CGF1056,2011-03-11,2011-04-27,48,33,0,357,0,0.0
CPD1525,2011-01-31,2011-04-04,64,46,0,357,0,0.0
DIM0330,2010-09-09,2010-12-01,84,58,0,357,0,0.0
DKG0161,2011-01-19,2011-04-07,79,57,53,359,330,67.1
DQM0809,2010-11-18,2011-02-01,76,49,0,358,0,0.0
GCD0194,2011-02-03,2011-03-07,33,23,0,357,0,0.0
GMB0400,2011-02-16,2011-04-15,59,43,0,357,0,0.0
HBP1076,2011-02-09,2011-04-25,76,53,0,357,0,0.0
IRH1224,2011-02-05,2011-04-05,60,59,0,497,0,0.0
JCC0016,2010-11-02,2011-03-22,141,96,0,357,0,0.0
JIG1593,2011-01-07,2011-03-29,82,58,0,357,0,0.0
JMM0613,2011-01-12,2011-03-23,71,62,15,457,127,21.1
JNR1592,2011-02-21,2011-04-26,65,46,0,357,0,0.0
KDC0996,2010-12-21,2011-02-22,64,43,0,357,0,0.0
MJR0711,2010-08-11,2010-10-28,79,56,0,357,0,0.0
MTP1582,2010-12-21,2011-03-17,87,60,0,350,0,0.0
NKM1738,2011-02-23,2011-05-04,71,50,0,357,0,0.0
NKN1405,2010-11-01,2010-12-30,60,40,0,357,0,0.0
NZL1395,2011-02-02,2011-04-21,79,57,0,357,0,0.0
OFS0030,2010-07-26,2010-10-04,71,50,0,357,0,0.0
OHS0036,2010-04-16,2010-07-09,85,59,0,357,0,0.0
RCG0584,2010-08-03,2010-10-29,88,63,15,359,106,17.0
WCW1013,2010-08-25,2010-11-08,76,53,0,357,0,0.0
WOS1834,2010-12-29,2011-03-14,76,53,0,357,0,0.0
