user,window_start,window_end,window_days,in_test_sample
ACM1770,2011-03-17,2011-05-19,64,True
AMC1883,2011-01-14,2011-03-08,54,True
ASH0298,2011-01-25,2011-03-29,64,True
ASH0458,2011-02-25,2011-05-06,71,True
BDP0096,2010-11-15,2011-02-07,85,True
CBW1826,2010-10-14,2011-03-23,161,True
CGF1056,2011-03-11,2011-04-27,48,True
CPD1525,2011-01-31,2011-04-04,64,True
DIM0330,2010-09-09,2010-12-01,84,True
DKG0161,2011-01-19,2011-04-07,79,True
DQM0809,2010-11-18,2011-02-01,76,True
GCD0194,2011-02-03,2011-03-07,33,True
GMB0400,2011-02-16,2011-04-15,59,True
HBP1076,2011-02-09,2011-04-25,76,True
IRH1224,2011-02-05,2011-04-05,60,True
JCC0016,2010-11-02,2011-03-22,141,True
JIG1593,2011-01-07,2011-03-29,82,True
JMM0613,2011-01-12,2011-03-23,71,True
JNR1592,2011-02-21,2011-04-26,65,True
KDC0996,2010-12-21,2011-02-22,64,True
MJR0711,2010-08-11,2010-10-28,79,True
MTP1582,2010-12-21,2011-03-17,87,True
NKM1738,2011-02-23,2011-05-04,71,True
NKN1405,2010-11-01,2010-12-30,60,True
NZL1395,2011-02-02,2011-04-21,79,True
OFS0030,2010-07-26,2010-10-04,71,True
OHS0036,2010-04-16,2010-07-09,85,False
RCG0584,2010-08-03,2010-10-29,88,True
WCW1013,2010-08-25,2010-11-08,76,True
WOS1834,2010-12-29,2011-03-14,76,True
