part,config,score_value,user_days,device_records,device_records_pct,malicious_records,tau,records_protected_pct,malicious_protected_pct
distribution,device,0,139680,161164,95.71,2718,,,
distribution,device,0.3,1066,4752,2.82,1004,,,
distribution,device,0.65,333,2232,1.33,199,,,
distribution,device,0.95,54,244,0.14,64,,,
distribution,logon+device,0,134888,147126,87.37,2612,,,
distribution,logon+device,0.3,1167,4833,2.87,1004,,,
distribution,logon+device,0.45,208,929,0.55,0,,,
distribution,logon+device,0.5,4413,12907,7.66,106,,,
distribution,logon+device,0.6,3,16,0.01,0,,,
distribution,logon+device,0.65,293,1976,1.17,147,,,
distribution,logon+device,0.75,8,0,0.0,0,,,
distribution,logon+device,0.8,28,85,0.05,0,,,
distribution,logon+device,0.95,88,280,0.17,68,,,
distribution,logon+device,1.0,37,240,0.14,48,,,
distribution,device_single,0.0,140746,165916,98.53,3722,,,
distribution,device_single,0.65,387,2476,1.47,263,,,
protection,device,,1453,7228,,1267,0.3,4.29,31.8
protection,device,,387,2476,,263,0.65,1.47,6.6
protection,device,,54,244,,64,0.95,0.14,1.6
protection,device_single,,387,2476,,263,0.65,1.47,6.6
