attack_id,attack_name,key_assumption,scheme,detected,where,note
1,вставка записи,без ключа,SHA-256 цепочка,True,запись № 5002,
1,вставка записи,без ключа,HMAC поэлементная,True,метка записи № 5002 не сходится,
1,вставка записи,без ключа,блочная HMAC B=1000,True,блок 6 (записи 5001..6000) не совпал с внешней меткой,
1,вставка записи,с ключом*,SHA-256 цепочка,False,-,*ключа нет вообще - пересчёт доступен любому с правом записи
1,вставка записи,с ключом,HMAC поэлементная,True,запись № 6000 не совпадает с контрольной точкой,
1,вставка записи,с ключом,блочная HMAC B=1000,True,блок 6 (записи 5001..6000) не совпал с внешней меткой,
2,удаление блока,без ключа,SHA-256 цепочка,True,запись № 4001,
2,удаление блока,без ключа,HMAC поэлементная,True,метка записи № 4001 не сходится,
2,удаление блока,без ключа,блочная HMAC B=1000,True,блок 5 (записи 4001..5000) не совпал с внешней меткой,
2,удаление блока,с ключом*,SHA-256 цепочка,False,-,*ключа нет вообще
2,удаление блока,с ключом,HMAC поэлементная,True,запись № 5000 не совпадает с контрольной точкой,
2,удаление блока,с ключом,блочная HMAC B=1000,True,блок 5 (записи 4001..5000) не совпал с внешней меткой,
3,перестановка блоков,без ключа,SHA-256 цепочка,True,запись № 2001,
3,перестановка блоков,без ключа,HMAC поэлементная,True,метка записи № 2001 не сходится,
3,перестановка блоков,без ключа,блочная HMAC B=1000,True,блок 3 (записи 2001..3000) не совпал с внешней меткой,
3,перестановка блоков,с ключом*,SHA-256 цепочка,False,-,*ключа нет вообще
3,перестановка блоков,с ключом,HMAC поэлементная,True,запись № 3000 не совпадает с контрольной точкой,
3,перестановка блоков,с ключом,блочная HMAC B=1000,True,блок 3 (записи 2001..3000) не совпал с внешней меткой,
4,replay блока,без ключа,SHA-256 цепочка,True,запись № 8001,
4,replay блока,без ключа,HMAC поэлементная,True,метка записи № 8001 не сходится,
4,replay блока,без ключа,блочная HMAC B=1000,True,блок 9 (записи 8001..9000) не совпал с внешней меткой,
4,replay блока,с ключом*,SHA-256 цепочка,False,-,*ключа нет вообще
4,replay блока,с ключом,HMAC поэлементная,True,запись № 9000 не совпадает с контрольной точкой,
4,replay блока,с ключом,блочная HMAC B=1000,True,блок 9 (записи 8001..9000) не совпал с внешней меткой,
5,блок из другого журнала,без ключа,HMAC поэлементная,True,метка записи № 8001 не сходится,
5,блок из другого журнала,без ключа,блочная HMAC B=1000,True,блок 9 (записи 8001..9000) не совпал с внешней меткой,
5,блок из другого журнала,с ключом*,SHA-256 цепочка,False,-,*ключа нет вообще
5,блок из другого журнала,с ключом,HMAC поэлементная,True,запись № 9000 не совпадает с контрольной точкой,
5,блок из другого журнала,с ключом,блочная HMAC B=1000,True,блок 9 (записи 8001..9000) не совпал с внешней меткой,
6,изменена только дата,без ключа,SHA-256 цепочка,True,запись № 5000,
6,изменена только дата,без ключа,HMAC поэлементная,True,метка записи № 5000 не сходится,
6,изменена только дата,без ключа,блочная HMAC B=1000,True,блок 5 (записи 4001..5000) не совпал с внешней меткой,
6,изменена только дата,с ключом*,SHA-256 цепочка,False,-,*ключа нет вообще
6,изменена только дата,с ключом,HMAC поэлементная,True,запись № 5000 не совпадает с контрольной точкой,
6,изменена только дата,с ключом,блочная HMAC B=1000,True,блок 5 (записи 4001..5000) не совпал с внешней меткой,
7,3 подмены в разных блоках (без пересчёта),без ключа,HMAC поэлементная,True,"записи № [1500, 4500, 8500]",продолженная проверка (не останавливается на первой ошибке): из 3 подмен обнаружено 3
7,3 подмены в разных блоках (без пересчёта),без ключа,блочная HMAC B=1000,True,"блоки [2, 5, 9]","продолженная проверка (от эталонного тега, не каскадом): из 3 затронутых блоков (2,5,9) обнаружено 3"
7,3 подмены в разных блоках,без ключа,SHA-256 цепочка,True,запись № 1500,первая же подмена рвёт цепочку; verify_chain останавливается на первой ошибке
7,3 подмены в разных блоках,с ключом*,SHA-256 цепочка,False,-,*ключа нет вообще
7,3 подмены в разных блоках,с ключом,HMAC поэлементная,True,запись № 2000 не совпадает с контрольной точкой,
7,3 подмены в разных блоках,с ключом,блочная HMAC B=1000,True,блок 2 (записи 1001..2000) не совпал с внешней меткой,
8,порча контрольной точки,-,HMAC поэлементная,True,запись № 5000 не совпадает с контрольной точкой,испорчена именно точка на отметке 5000 (не журнал)
8,порча контрольной точки,-,блочная HMAC B=1000,True,блок 5 (записи 4001..5000) не совпал с внешней меткой,испорчена метка блока № 5 во внешнем хранилище
8,порча контрольной точки,-,SHA-256 цепочка,False,н/п (нет контрольных точек),у простой цепочки нет внешнего хранилища вообще - атака неприменима
9,откат журнала+точки вместе,ключ не нужен - только доступ к обеим частям,HMAC поэлементная,False,-,"внутренне полностью согласованная пара - неотличима от 'журнал легитимно был короче'; граница схемы без монотонного счётчика во внешнем хранилище, не зависящего от самого файла"
9,откат журнала+точки вместе,ключ не нужен - только доступ к обеим частям,блочная HMAC B=1000,False,-,то же самое: согласованная более ранняя пара проходит
9,откат журнала+точки вместе,ключа нет вообще,SHA-256 цепочка,False,-,"у простой цепочки это то же самое, что обрезка хвоста (раздел 4.4, атака 3) - уже известная брешь"
