config,variant,detail,cutoff,N,W,val_recall,val_fpr,test_caught,test_total,test_recall,recall_ci_lo,recall_ci_hi,test_false,test_normal_total,test_fpr,sign_test_only_variant,sign_test_only_baseline,sign_test_p,sign_test_verdict,note
device,наши веса,"ab.WEIGHTS {'novel_dev_off_hours': 0.65, 'dev_spike': 0.3}",0.65,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,21,888,0.0236,,,,база для сравнения,
device,равные веса,"{'novel_dev_off_hours': 0.5, 'dev_spike': 0.5}",0.5,3,7,0.3429,0.0286,17,35,0.4857,0.3299,0.6443,25,888,0.0282,4,5,1.0,различие не обнаружено (или тест без мощности),
device,только novel_dev_off_hours,"novel_dev_off_hours=1.0, остальные не используются",1.0,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,21,888,0.0236,0,0,1.0,различие не обнаружено (или тест без мощности),
device,только dev_spike,"dev_spike=1.0, остальные не используются",1.0,3,7,0.1143,0.022,4,35,0.1143,0.0454,0.2595,19,888,0.0214,3,17,0.0026,значимо отличается от наших весов,
device,без novel_dev_off_hours,"убран novel_dev_off_hours, у остальных веса как сейчас",0.3,3,7,0.1143,0.022,4,35,0.1143,0.0454,0.2595,19,888,0.0214,3,17,0.0026,значимо отличается от наших весов,
device,без dev_spike,"убран dev_spike, у остальных веса как сейчас",0.65,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,21,888,0.0236,0,0,1.0,различие не обнаружено (или тест без мощности),
device,логистическая регрессия,"b0=-5.212; novel_dev_off_hours=+3.045, dev_spike=+1.559",0.1027,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,21,888,0.0236,0,0,1.0,различие не обнаружено (или тест без мощности),"коэффициенты и порог подобраны на валидации (train-период без вредоносных дней), а не только порог, как у остальных вариантов"
logon+device,наши веса,"ab.WEIGHTS {'novel_off_hours': 0.45, 'novel_weekend': 0.3, 'novel_pc': 0.5, 'novel_dev_off_hours': 0.65, 'dev_spike': 0.3}",0.6,3,30,0.4,0.0253,17,35,0.4857,0.3299,0.6443,29,888,0.0327,,,,база для сравнения,
logon+device,равные веса,"{'novel_off_hours': 0.2, 'novel_weekend': 0.2, 'novel_pc': 0.2, 'novel_dev_off_hours': 0.2, 'dev_spike': 0.2}",0.4,2,30,0.1429,0.0165,7,35,0.2,0.1004,0.3589,14,888,0.0158,0,10,0.002,значимо отличается от наших весов,
logon+device,только novel_off_hours,"novel_off_hours=1.0, остальные не используются",1.0,2,14,0.1429,0.0231,5,35,0.1429,0.0626,0.2938,28,888,0.0315,0,12,0.0005,значимо отличается от наших весов,
logon+device,только novel_weekend,"novel_weekend=1.0, остальные не используются",1.0,2,30,0.0286,0.011,0,35,0.0,0.0,0.0989,9,888,0.0101,0,17,0.0,значимо отличается от наших весов,
logon+device,только novel_pc,"novel_pc=1.0, остальные не используются",1.0,4,7,0.2,0.0297,5,35,0.1429,0.0626,0.2938,27,888,0.0304,4,16,0.0118,значимо отличается от наших весов,
logon+device,только novel_dev_off_hours,"novel_dev_off_hours=1.0, остальные не используются",1.0,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,21,888,0.0236,1,0,1.0,различие не обнаружено (или тест без мощности),
logon+device,только dev_spike,"dev_spike=1.0, остальные не используются",1.0,3,7,0.1143,0.022,4,35,0.1143,0.0454,0.2595,19,888,0.0214,3,16,0.0044,значимо отличается от наших весов,
logon+device,без novel_off_hours,"убран novel_off_hours, у остальных веса как сейчас",0.6,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,22,888,0.0248,1,0,1.0,различие не обнаружено (или тест без мощности),
logon+device,без novel_weekend,"убран novel_weekend, у остальных веса как сейчас",0.65,3,30,0.4,0.0253,17,35,0.4857,0.3299,0.6443,29,888,0.0327,0,0,1.0,различие не обнаружено (или тест без мощности),
logon+device,без novel_pc,"убран novel_pc, у остальных веса как сейчас",0.6,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,21,888,0.0236,1,0,1.0,различие не обнаружено (или тест без мощности),
logon+device,без novel_dev_off_hours,"убран novel_dev_off_hours, у остальных веса как сейчас",0.5,4,7,0.2,0.0297,5,35,0.1429,0.0626,0.2938,27,888,0.0304,4,16,0.0118,значимо отличается от наших весов,
logon+device,без dev_spike,"убран dev_spike, у остальных веса как сейчас",0.65,3,30,0.4,0.0253,17,35,0.4857,0.3299,0.6443,26,888,0.0293,0,0,1.0,различие не обнаружено (или тест без мощности),
logon+device,логистическая регрессия,"b0=-5.273; novel_off_hours=+1.791, novel_weekend=+0.289, novel_pc=+0.840, novel_dev_off_hours=+2.813, dev_spike=+1.661",0.0771,2,7,0.4286,0.0297,18,35,0.5143,0.3557,0.6701,21,888,0.0236,1,0,1.0,различие не обнаружено (или тест без мощности),"коэффициенты и порог подобраны на валидации (train-период без вредоносных дней), а не только порог, как у остальных вариантов"
