config,cutoff,N,W,part,insiders_caught,insiders_total,user_recall,false_users,normal_users,user_fpr,median_delay_days
logon,0.75,1,7,валидация,2,35,0.0571,9,910,0.0099,28.0
logon,0.75,1,7,тест,3,35,0.0857,14,888,0.0158,0
logon,0.75,1,14,валидация,2,35,0.0571,9,910,0.0099,28.0
logon,0.75,1,14,тест,3,35,0.0857,14,888,0.0158,0
logon,0.75,1,30,валидация,2,35,0.0571,9,910,0.0099,28.0
logon,0.75,1,30,тест,3,35,0.0857,14,888,0.0158,0
logon,0.75,2,7,валидация,0,35,0.0,2,910,0.0022,
logon,0.75,2,7,тест,0,35,0.0,3,888,0.0034,
logon,0.75,2,14,валидация,1,35,0.0286,3,910,0.0033,7
logon,0.75,2,14,тест,0,35,0.0,6,888,0.0068,
logon,0.75,2,30,валидация,1,35,0.0286,4,910,0.0044,7
logon,0.75,2,30,тест,0,35,0.0,7,888,0.0079,
logon,0.75,3,7,валидация,0,35,0.0,1,910,0.0011,
logon,0.75,3,7,тест,0,35,0.0,0,888,0.0,
logon,0.75,3,14,валидация,0,35,0.0,2,910,0.0022,
logon,0.75,3,14,тест,0,35,0.0,0,888,0.0,
logon,0.75,3,30,валидация,0,35,0.0,2,910,0.0022,
logon,0.75,3,30,тест,0,35,0.0,2,888,0.0023,
logon,0.75,4,7,валидация,0,35,0.0,0,910,0.0,
logon,0.75,4,7,тест,0,35,0.0,0,888,0.0,
logon,0.75,4,14,валидация,0,35,0.0,0,910,0.0,
logon,0.75,4,14,тест,0,35,0.0,0,888,0.0,
logon,0.75,4,30,валидация,0,35,0.0,0,910,0.0,
logon,0.75,4,30,тест,0,35,0.0,0,888,0.0,
logon,0.75,5,7,валидация,0,35,0.0,0,910,0.0,
logon,0.75,5,7,тест,0,35,0.0,0,888,0.0,
logon,0.75,5,14,валидация,0,35,0.0,0,910,0.0,
logon,0.75,5,14,тест,0,35,0.0,0,888,0.0,
logon,0.75,5,30,валидация,0,35,0.0,0,910,0.0,
logon,0.75,5,30,тест,0,35,0.0,0,888,0.0,
device,0.3,1,7,валидация,30,35,0.8571,108,910,0.1187,0.0
device,0.3,1,7,тест,33,35,0.9429,108,888,0.1216,0
device,0.3,1,14,валидация,30,35,0.8571,108,910,0.1187,0.0
device,0.3,1,14,тест,33,35,0.9429,108,888,0.1216,0
device,0.3,1,30,валидация,30,35,0.8571,108,910,0.1187,0.0
device,0.3,1,30,тест,33,35,0.9429,108,888,0.1216,0
device,0.3,2,7,валидация,21,35,0.6,78,910,0.0857,1
device,0.3,2,7,тест,28,35,0.8,71,888,0.08,0.0
device,0.3,2,14,валидация,23,35,0.6571,91,910,0.1,2
device,0.3,2,14,тест,30,35,0.8571,82,888,0.0923,0.0
